"ID" "nazov.skoly" "adresa" "obec" "okres" "zriadovateľ" "skupina.odborov.cislo" "skupina.odborov" "odbor" "odbor.nazov" "Forma" "Druh" "stupen.vzdelania" "Dĺžka" "Jazyk" "1." "2." "3." "4." "5." "6." "7." "8." "žiaci.spolu" "novoprijatí.1..ročník.2017" "absolventi.2017" "odborný.výcvik.a.prax" "predpokladani.absolventi.máj.2018" "lat" "lng"
"34" "14" "Gymnázium Augusta Horislava Škultétyho" "Školská 21" "Veľký Krtíš" "VK" "BBSK" 79 "Gymnáziá" "7902J00" "gymnázium" "D" "3G" "J" 4 "S " 40 22 58 46 0 0 0 0 166 40 29 0 46 19.3514334 48.2069562
"35" "14" "Gymnázium Augusta Horislava Škultétyho" "Školská 21" "Veľký Krtíš" "VK" "BBSK" 79 "Gymnáziá" "7902500" "gymnázium" "D" "3G" "5" 8 "S " 0 0 0 0 0 0 0 17 17 0 0 0 17 19.3514334 48.2069562
"36" "14" "Gymnázium Augusta Horislava Škultétyho" "Školská 21" "Veľký Krtíš" "VK" "BBSK" 79 "Gymnáziá" "7902J00" "gymnázium" "D" "3G" "J" 8 "S " 24 20 22 22 0 16 0 0 104 24 0 0 0 19.3514334 48.2069562
"37" "15" "Gymnázium Františka Švantnera" "Bernolákova 9" "Nová Baňa" "ZC" "BBSK" 79 "Gymnáziá" "7902J00" "gymnázium" "D" "3G" "J" 4 "S " 0 19 0 23 0 0 0 0 42 0 22 0 23 18.6412847 48.4229625
"38" "15" "Gymnázium Františka Švantnera" "Bernolákova 9" "Nová Baňa" "ZC" "BBSK" 79 "Gymnáziá" "7902500" "gymnázium" "D" "3G" "5" 8 "S " 0 0 0 0 0 0 20 17 37 0 0 0 17 18.6412847 48.4229625
"39" "15" "Gymnázium Františka Švantnera" "Bernolákova 9" "Nová Baňa" "ZC" "BBSK" 79 "Gymnáziá" "7902J00" "gymnázium" "D" "3G" "J" 8 "S " 0 0 20 14 0 13 0 0 47 0 0 0 0 18.6412847 48.4229625
"40" "16" "Gymnázium Milana Rúfusa" "Ul. J. Kollára 2" "Žiar nad Hronom" "ZH" "BBSK" 79 "Gymnáziá" "7902J00" "gymnázium" "D" "3G" "J" 4 "S " 62 63 89 84 0 0 0 0 298 62 72 0 84 18.8546862 48.5894762
"41" "16" "Gymnázium Milana Rúfusa" "Ul. J. Kollára 2" "Žiar nad Hronom" "ZH" "BBSK" 79 "Gymnáziá" "7902500" "gymnázium" "D" "3G" "5" 8 "S " 0 0 0 0 0 0 27 29 56 0 0 0 29 18.8546862 48.5894762
"42" "16" "Gymnázium Milana Rúfusa" "Ul. J. Kollára 2" "Žiar nad Hronom" "ZH" "BBSK" 79 "Gymnáziá" "7902J00" "gymnázium" "D" "3G" "J" 8 "S " 22 28 18 21 25 27 0 0 141 22 0 0 0 18.8546862 48.5894762
"43" "17" "Gymnázium Ľudovíta Štúra" "Hronská 1467/3" "Zvolen" "ZV" "BBSK" 79 "Gymnáziá" "7902J00" "gymnázium" "D" "3G" "J" 4 "S " 114 143 118 156 0 0 0 0 531 113 118 0 156 19.1120527 48.5750954
